location,id,IdLugar,Nombre,Descripcion,Direccion,Municipio,Estado,Facebook,homepage,Latitud,Longitud,websitecontact,Categoria,Genero,Fecha,Hora,Lugar
Ciudad de Mexico,g5v8zpi1bnj55,KovZ917ALcQ,Sueños en Broadway,"Sueños en Broadway, es la historia de 8 ""homeless"" que viven en las bulliciosas calles de la ciudad de Nueva York. Todos ellos, a pesar de su condición, tienen sueños de fama, de ser grandes y reconocidos artistas; pero viven atrapados por la cotidiana realidad. Sin embrago, sus sueños y desbordante imaginación de artistas, lograrán romper la barrera entre la fantasía y la realidad, al descubrir que a su paso por las distintas y deslumbrantes marquesinas de Broadway, sus sueños, comienzan a volverse realidad, cuando se convierten en los protagonistas de grandes musicales",Avenida Centenario 159,Ciudad de Mexico,Distrito Federal,null,null,19.35686,-99.16324,https://www.ticketmaster.com.mx/suenos-en-broadway-ciudad-de-mexico-distrito-federal-06-19-2021/event/14005AC2BAAA62CB,Miscellaneous,Family,2021-06-19,20:00:00,Teatro Centenario Coyoacan
Ciudad de Mexico,g5v8zpi1gikf2,KovZ917ALcQ,Sueños en Broadway,"Sueños en Broadway, es la historia de 8 ""homeless"" que viven en las bulliciosas calles de la ciudad de Nueva York. Todos ellos, a pesar de su condición, tienen sueños de fama, de ser grandes y reconocidos artistas; pero viven atrapados por la cotidiana realidad. Sin embrago, sus sueños y desbordante imaginación de artistas, lograrán romper la barrera entre la fantasía y la realidad, al descubrir que a su paso por las distintas y deslumbrantes marquesinas de Broadway, sus sueños, comienzan a volverse realidad, cuando se convierten en los protagonistas de grandes musicales",Avenida Centenario 159,Ciudad de Mexico,Distrito Federal,null,null,19.35686,-99.16324,https://www.ticketmaster.com.mx/suenos-en-broadway-ciudad-de-mexico-distrito-federal-06-19-2021/event/14005AC2B5B0620F,Miscellaneous,Family,2021-06-19,18:00:00,Teatro Centenario Coyoacan
Ciudad de México,1afzaougkdldlqa,KovZpZA6EkkA,El Gran Show en Vivo de Bely y Beto VIP,null,Paseo de la Reforma # 50 Col Polanco V Sección,Ciudad de México,Distrito Federal,null,null,19.424648,-99.19484,https://www.ticketmaster.com.mx/el-gran-show-en-vivo-de-ciudad-de-mexico-distrito-federal-09-12-2021/event/14005836EB0EB745,Miscellaneous,Family,2021-09-12,17:00:00,Auditorio Nacional
Ciudad de México,1afzaougkdlydlf,KovZpZA6EkkA,El Gran Show en Vivo de Bely y Beto,null,Paseo de la Reforma # 50 Col Polanco V Sección,Ciudad de México,Distrito Federal,null,null,19.424648,-99.19484,https://www.ticketmaster.com.mx/el-gran-show-en-vivo-de-ciudad-de-mexico-distrito-federal-09-12-2021/event/14005836EBE7B7D4,Miscellaneous,Family,2021-09-12,17:00:00,Auditorio Nacional
Ciudad de México,1av8zpagkv8rf3x,KovZpZA6EkkA,El Gran Show en Vivo de Bely y Beto VIP,null,Paseo de la Reforma # 50 Col Polanco V Sección,Ciudad de México,Distrito Federal,null,null,19.424648,-99.19484,https://www.ticketmaster.com.mx/el-gran-show-en-vivo-de-ciudad-de-mexico-distrito-federal-09-12-2021/event/1400585D10BD44A2,Miscellaneous,Family,2021-09-12,13:00:00,Auditorio Nacional
Ciudad de México,1av8zpagkvomvpq,KovZpZA6EkkA,El Gran Show en Vivo de Bely y Beto,null,Paseo de la Reforma # 50 Col Polanco V Sección,Ciudad de México,Distrito Federal,null,null,19.424648,-99.19484,https://www.ticketmaster.com.mx/el-gran-show-en-vivo-de-ciudad-de-mexico-distrito-federal-09-12-2021/event/1400585D11BB459A,Miscellaneous,Family,2021-09-12,13:00:00,Auditorio Nacional
Estado de México,g5v8zpnllygbp,KovZpZAEvAnA,La Cenicienta,null,"Av. Jesús del Monte #41,  ",Estado de México,Estado de México,null,null,19.3770504,-99.2959213,https://www.ticketmaster.com.mx/la-cenicienta-estado-de-mexico-estado-de-mexico-07-03-2021/event/14005AAAEBC35616,Miscellaneous,Family,2021-07-03,13:00:00,Teatro del Parque Interlomas
Estado de México,g5v8zpnllwpbq,KovZpZAEvAnA,La Cenicienta,null,"Av. Jesús del Monte #41,  ",Estado de México,Estado de México,null,null,19.3770504,-99.2959213,https://www.ticketmaster.com.mx/la-cenicienta-estado-de-mexico-estado-de-mexico-07-03-2021/event/14005AAAEBCA561D,Miscellaneous,Family,2021-07-03,17:00:00,Teatro del Parque Interlomas
Estado de México,g5v8zpnuft09q,KovZpZAEvAnA,"Cantajuego ""Te extiendo mi mano""","CantaJuego presenta: ""Te extiendo mi mano"" Gira nacional e internacional 2020/21 Tal y como lo enuncia el título del nuevo espectáculo, una vez más, el Grupo Encanto entregará al publico un montaje especial basado en la solidaridad, la amistad, el trabajo en equipo y la empatía. Con una esmerada selección de su larga lista de éxitos, esta filosofía se refuerza aún más dada la expansión a países Latinoamericanos incluida en la larga lista de ciudades que visitarán en esta edición, tendiendo así puentes culturales entre ambos continentes. Arropado por una escenografía diseñada especialmente para esta gira, ""Te extiendo mi mano"" estará protagonizada por los ya icónicos CantaJuegos y sus fieles amigos, Coco, Pepe y Buby entre otros personajes, para desplegar un espectáculo lleno de música, coreografías, humor y energía que integra por igual a pequeños y mayores","Av. Jesús del Monte #41,  ",Estado de México,Estado de México,null,null,19.3770504,-99.2959213,https://www.ticketmaster.com.mx/cantajuego-te-extiendo-mi-mano-estado-de-mexico-estado-de-mexico-10-16-2021/event/14005AAD94FE45DA,Miscellaneous,Family,2021-10-16,13:30:00,Teatro del Parque Interlomas
Estado de México,g5v8zpnlrta_r,KovZpZAEvAnA,La vaca Lola,null,"Av. Jesús del Monte #41,  ",Estado de México,Estado de México,null,null,19.3770504,-99.2959213,https://www.ticketmaster.com.mx/la-vaca-lola-estado-de-mexico-estado-de-mexico-11-06-2021/event/14005AAAEFFC566F,Miscellaneous,Family,2021-11-06,13:00:00,Teatro del Parque Interlomas
